transaction_id,branch_id,city,date,amount,status
TXN1000,B011,Chennai,2025-04-01,1000,SUCCESS
TXN1001,B011,Chennai,2025-04-02,1100,FAILED
TXN1002,B011,Chennai,2025-04-03,1200,SUCCESS
TXN1003,B011,Chennai,2025-04-04,1300,FAILED
TXN1004,B011,Chennai,2025-04-05,1400,SUCCESS
TXN1005,B011,Chennai,2025-04-06,1500,SUCCESS
TXN1006,B011,Chennai,2025-04-07,1600,FAILED
TXN1007,B011,Chennai,2025-04-08,1700,SUCCESS
TXN1008,B011,Chennai,2025-04-09,1800,FAILED
TXN1009,B011,Chennai,2025-04-10,1900,SUCCESS
TXN1000,B012,Chennai,2025-04-01,1000,SUCCESS
TXN1001,B012,Chennai,2025-04-02,1100,FAILED
TXN1002,B012,Chennai,2025-04-03,1200,SUCCESS
TXN1003,B012,Chennai,2025-04-04,1300,FAILED
TXN1004,B012,Chennai,2025-04-05,1400,SUCCESS
TXN1005,B012,Chennai,2025-04-06,1500,SUCCESS
TXN1006,B012,Chennai,2025-04-07,1600,FAILED
TXN1007,B012,Chennai,2025-04-08,1700,SUCCESS
TXN1008,B012,Chennai,2025-04-09,1800,FAILED
TXN1009,B012,Chennai,2025-04-10,1900,SUCCESS
TXN1000,B013,Chennai,2025-04-01,1000,SUCCESS
TXN1001,B013,Chennai,2025-04-02,1100,FAILED
TXN1002,B013,Chennai,2025-04-03,1200,SUCCESS
TXN1003,B013,Chennai,2025-04-04,1300,FAILED
TXN1004,B013,Chennai,2025-04-05,1400,SUCCESS
TXN1005,B013,Chennai,2025-04-06,1500,SUCCESS
TXN1006,B013,Chennai,2025-04-07,1600,FAILED
TXN1007,B013,Chennai,2025-04-08,1700,SUCCESS
TXN1008,B013,Chennai,2025-04-09,1800,FAILED
TXN1009,B013,Chennai,2025-04-10,1900,SUCCESS
TXN1000,B014,Chennai,2025-04-01,1000,SUCCESS
TXN1001,B014,Chennai,2025-04-02,1100,FAILED
TXN1002,B014,Chennai,2025-04-03,1200,SUCCESS
TXN1003,B014,Chennai,2025-04-04,1300,FAILED
TXN1004,B014,Chennai,2025-04-05,1400,SUCCESS
TXN1005,B014,Chennai,2025-04-06,1500,SUCCESS
TXN1006,B014,Chennai,2025-04-07,1600,FAILED
TXN1007,B014,Chennai,2025-04-08,1700,SUCCESS
TXN1008,B014,Chennai,2025-04-09,1800,FAILED
TXN1009,B014,Chennai,2025-04-10,1900,SUCCESS
TXN1000,B015,Chennai,2025-04-01,1000,SUCCESS
TXN1001,B015,Chennai,2025-04-02,1100,FAILED
TXN1002,B015,Chennai,2025-04-03,1200,SUCCESS
TXN1003,B015,Chennai,2025-04-04,1300,FAILED
TXN1004,B015,Chennai,2025-04-05,1400,SUCCESS
TXN1005,B015,Chennai,2025-04-06,1500,SUCCESS
TXN1006,B015,Chennai,2025-04-07,1600,FAILED
TXN1007,B015,Chennai,2025-04-08,1700,SUCCESS
TXN1008,B015,Chennai,2025-04-09,1800,FAILED
TXN1009,B015,Chennai,2025-04-10,1900,SUCCESS
TXN1000,B001,Mumbai,2025-04-01,1000,SUCCESS
TXN1001,B001,Mumbai,2025-04-02,1100,FAILED
TXN1002,B001,Mumbai,2025-04-03,1200,SUCCESS
TXN1003,B001,Mumbai,2025-04-04,1300,FAILED
TXN1004,B001,Mumbai,2025-04-05,1400,SUCCESS
TXN1005,B001,Mumbai,2025-04-06,1500,SUCCESS
TXN1006,B001,Mumbai,2025-04-07,1600,FAILED
TXN1007,B001,Mumbai,2025-04-08,1700,SUCCESS
TXN1008,B001,Mumbai,2025-04-09,1800,FAILED
TXN1009,B001,Mumbai,2025-04-10,1900,SUCCESS
TXN1000,B002,Mumbai,2025-04-01,1000,SUCCESS
TXN1001,B002,Mumbai,2025-04-02,1100,FAILED
TXN1002,B002,Mumbai,2025-04-03,1200,SUCCESS
TXN1003,B002,Mumbai,2025-04-04,1300,FAILED
TXN1004,B002,Mumbai,2025-04-05,1400,SUCCESS
TXN1005,B002,Mumbai,2025-04-06,1500,SUCCESS
TXN1006,B002,Mumbai,2025-04-07,1600,FAILED
TXN1007,B002,Mumbai,2025-04-08,1700,SUCCESS
TXN1008,B002,Mumbai,2025-04-09,1800,FAILED
TXN1009,B002,Mumbai,2025-04-10,1900,SUCCESS
TXN1000,B003,Mumbai,2025-04-01,1000,SUCCESS
TXN1001,B003,Mumbai,2025-04-02,1100,FAILED
TXN1002,B003,Mumbai,2025-04-03,1200,SUCCESS
TXN1003,B003,Mumbai,2025-04-04,1300,FAILED
TXN1004,B003,Mumbai,2025-04-05,1400,SUCCESS
TXN1005,B003,Mumbai,2025-04-06,1500,SUCCESS
TXN1006,B003,Mumbai,2025-04-07,1600,FAILED
TXN1007,B003,Mumbai,2025-04-08,1700,SUCCESS
TXN1008,B003,Mumbai,2025-04-09,1800,FAILED
TXN1009,B003,Mumbai,2025-04-10,1900,SUCCESS
TXN1000,B004,Mumbai,2025-04-01,1000,SUCCESS
TXN1001,B004,Mumbai,2025-04-02,1100,FAILED
TXN1002,B004,Mumbai,2025-04-03,1200,SUCCESS
TXN1003,B004,Mumbai,2025-04-04,1300,FAILED
TXN1004,B004,Mumbai,2025-04-05,1400,SUCCESS
TXN1005,B004,Mumbai,2025-04-06,1500,SUCCESS
TXN1006,B004,Mumbai,2025-04-07,1600,FAILED
TXN1007,B004,Mumbai,2025-04-08,1700,SUCCESS
TXN1008,B004,Mumbai,2025-04-09,1800,FAILED
TXN1009,B004,Mumbai,2025-04-10,1900,SUCCESS
TXN1000,B005,Mumbai,2025-04-01,1000,SUCCESS
TXN1001,B005,Mumbai,2025-04-02,1100,FAILED
TXN1002,B005,Mumbai,2025-04-03,1200,SUCCESS
TXN1003,B005,Mumbai,2025-04-04,1300,FAILED
TXN1004,B005,Mumbai,2025-04-05,1400,SUCCESS
TXN1005,B005,Mumbai,2025-04-06,1500,SUCCESS
TXN1006,B005,Mumbai,2025-04-07,1600,FAILED
TXN1007,B005,Mumbai,2025-04-08,1700,SUCCESS
TXN1008,B005,Mumbai,2025-04-09,1800,FAILED
TXN1009,B005,Mumbai,2025-04-10,1900,SUCCESS
TXN1000,B006,Delhi,2025-04-01,1000,SUCCESS
TXN1001,B006,Delhi,2025-04-02,1100,FAILED
TXN1002,B006,Delhi,2025-04-03,1200,SUCCESS
TXN1003,B006,Delhi,2025-04-04,1300,FAILED
TXN1004,B006,Delhi,2025-04-05,1400,SUCCESS
TXN1005,B006,Delhi,2025-04-06,1500,SUCCESS
TXN1006,B006,Delhi,2025-04-07,1600,FAILED
TXN1007,B006,Delhi,2025-04-08,1700,SUCCESS
TXN1008,B006,Delhi,2025-04-09,1800,FAILED
TXN1009,B006,Delhi,2025-04-10,1900,SUCCESS
TXN1000,B007,Delhi,2025-04-01,1000,SUCCESS
TXN1001,B007,Delhi,2025-04-02,1100,FAILED
TXN1002,B007,Delhi,2025-04-03,1200,SUCCESS
TXN1003,B007,Delhi,2025-04-04,1300,FAILED
TXN1004,B007,Delhi,2025-04-05,1400,SUCCESS
TXN1005,B007,Delhi,2025-04-06,1500,SUCCESS
TXN1006,B007,Delhi,2025-04-07,1600,FAILED
TXN1007,B007,Delhi,2025-04-08,1700,SUCCESS
TXN1008,B007,Delhi,2025-04-09,1800,FAILED
TXN1009,B007,Delhi,2025-04-10,1900,SUCCESS
TXN1000,B008,Delhi,2025-04-01,1000,SUCCESS
TXN1001,B008,Delhi,2025-04-02,1100,FAILED
TXN1002,B008,Delhi,2025-04-03,1200,SUCCESS
TXN1003,B008,Delhi,2025-04-04,1300,FAILED
TXN1004,B008,Delhi,2025-04-05,1400,SUCCESS
TXN1005,B008,Delhi,2025-04-06,1500,SUCCESS
TXN1006,B008,Delhi,2025-04-07,1600,FAILED
TXN1007,B008,Delhi,2025-04-08,1700,SUCCESS
TXN1008,B008,Delhi,2025-04-09,1800,FAILED
TXN1009,B008,Delhi,2025-04-10,1900,SUCCESS
TXN1000,B009,Delhi,2025-04-01,1000,SUCCESS
TXN1001,B009,Delhi,2025-04-02,1100,FAILED
TXN1002,B009,Delhi,2025-04-03,1200,SUCCESS
TXN1003,B009,Delhi,2025-04-04,1300,FAILED
TXN1004,B009,Delhi,2025-04-05,1400,SUCCESS
TXN1005,B009,Delhi,2025-04-06,1500,SUCCESS
TXN1006,B009,Delhi,2025-04-07,1600,FAILED
TXN1007,B009,Delhi,2025-04-08,1700,SUCCESS
TXN1008,B009,Delhi,2025-04-09,1800,FAILED
TXN1009,B009,Delhi,2025-04-10,1900,SUCCESS
TXN1000,B010,Delhi,2025-04-01,1000,SUCCESS
TXN1001,B010,Delhi,2025-04-02,1100,FAILED
TXN1002,B010,Delhi,2025-04-03,1200,SUCCESS
TXN1003,B010,Delhi,2025-04-04,1300,FAILED
TXN1004,B010,Delhi,2025-04-05,1400,SUCCESS
TXN1005,B010,Delhi,2025-04-06,1500,SUCCESS
TXN1006,B010,Delhi,2025-04-07,1600,FAILED
TXN1007,B010,Delhi,2025-04-08,1700,SUCCESS
TXN1008,B010,Delhi,2025-04-09,1800,FAILED
TXN1009,B010,Delhi,2025-04-10,1900,SUCCESS
